mu,beta,c,epsilon,n,d,f,alpha,a,kA,e_T,e_R,g,b_T,b_R,Error,EntryNumber,error2
3.024e+06,0.35289,0.76742,0.0035713,1,1000,1.3863,2.0936e+05,377.96,3.0894e+07,73.175,3.118e+06,0.23522,2.0036,3,60320,89,60320
3.7336e+06,0.45629,0.45031,413.78,1,1000,1.3863,2.9588e+05,3776.3,9.5157e+08,17.248,9.386e+06,2.2272,4.4355,2.9945,6.1997e+06,90,6.1997e+06
3.6694e+06,0.30234,0.99785,454.27,1,1000,1.3863,17241,8795.5,5.2235e+08,83.025,2.4403e+06,2.9967,4.9953,1.4976,3.7605e+08,91,3.7605e+08
4.6911e+06,0.98949,0.99725,342.16,1,1000,1.3863,2.1781e+05,8285.5,1.5274e+08,35.145,5.019e+06,2.2966,4.3509,2.3332,3.8563e+08,92,3.8563e+08
4.1879e+06,0.58941,0.25605,34.524,1,1000,1.3863,1.2749e+05,0.11673,7.8656e+07,68.97,2.7163e+06,0.00084564,3.3387,2.0807,91748,93,91748
3.091e+06,0.3,0.11665,0.060507,1,1000,1.3863,53173,23.928,6.219e+08,16.784,2.1894e+06,3,5,2.8971,4301.4,94,4301.4
3.7384e+06,0.41866,0.23266,459.06,1,1000,1.3863,1.1864e+05,2.5743,7.2712e+08,99.998,6.6963e+06,2.9934,1.7348,2.2435,10006,95,10006
4.5579e+06,0.57561,0.45031,43.101,1,1000,1.3863,29925,3842.8,4.9126e+08,8.0568,7.9005e+05,2.3225,0.73905,2.4277,1.0715e+09,96,1.0715e+09
4.194e+06,0.68589,0.4455,10.488,1,1000,1.3863,4.6371e+05,2039.2,9.5658e+08,99.998,7.8769e+06,1.0701,4.801,1.6324,2.0043e+05,97,2.0043e+05
4.0359e+06,0.40001,0.078337,125.93,1,1000,1.3863,1.7386e+05,9721.5,8.3606e+08,91.091,3.3373e+06,1.2101,3.162,0.072638,1.3408e+11,98,1.3408e+11
4.1067e+06,0.40812,0.0017358,23.387,1,1000,1.3863,2.3457e+05,25.559,3.1094e+08,0.00015078,6.263e+06,2.3148,3.8262,1.7239,7329.8,99,7329.8
4.6397e+06,0.39683,0.45032,128.81,1,1000,1.3863,4.7414e+05,5163.9,9.5671e+08,87.528,7.0431e+06,0.81606,2.635,2.01,5.1779e+07,100,5.1779e+07
4.0649e+06,0.37668,0.33843,8.9036,1,1000,1.3863,2.4851e+05,6096,7.7865e+07,62.221,7.4702e+06,0.72437,0.13061,2.01,2.8287e+28,101,8.2541e+28
